,회사명,ROA,PER
1615,퓨쳐켐,0.0,-10.3
1616,프럼파스트,12.64,8.48
1617,프로스테믹스,10.68,-424.05
1618,프로텍,10.74,7.62
1619,프리엠스,0.47,29.26
1620,플랜티넷,2.71,22.45
1621,플레이위드,5.37,-32.83
1622,피델릭스,1.62,-4.49
1623,피씨디렉트,2.37,14.67
1624,피앤씨테크,5.91,12.37
1625,피앤이솔루션,4.94,23.29
1626,피에스엠씨,-24.6,-71.14
1627,피에스케이,15.56,13.36
1628,피에스텍,3.94,15.19
1629,피엔티,6.19,28.58
1630,피제이메탈,1.86,12.72
1631,피제이전자,5.83,9.56
1632,픽셀플러스,-5.42,-9.97
1633,필룩스,11.43,14.86
1634,필링크,-7.92,58.45
1635,하나금융7호스팩,-0.87,116.79
1636,하나금융지주,0.75,9.29
1637,하나마이크론,3.95,-8.17
1638,하나투어,8.06,151.31
1639,하림,13.55,15.81
1640,하림홀딩스,9.66,16.28
1641,하이로닉,-2.1,49.53
1642,하이록코리아,9.55,9.9
1643,하이비젼시스템,14.62,14.94
1644,하이셈,-5.66,58.13
1645,하이스틸,2.55,4.36
1646,하이에이아이1호스팩,-0.15,161.49
1647,하이제3호스팩,-0.03,125.23
1648,하이즈항공,-3.79,-884.81
1649,하이텍팜,2.78,19.81
1650,하이트론,-15.39,-4.23
1651,하이트진로,3.27,44.13
1652,하이트진로홀딩스,3.13,-14.83
1653,하츠,5.77,12.62
1654,한국4호스팩,0.0,175.92
1655,한국가구,6.72,8.2
1656,한국가스공사,-1.88,-2.91
1657,한국경제TV,11.06,10.91
1658,한국공항,8.39,8.02
1659,한국금융지주,1.25,10.95
1660,한국기업평가,11.86,16.64
1661,한국내화,6.31,5.47
1662,한국단자,11.49,11.66
1663,한국맥널티,5.04,23.87
1664,한국석유,6.26,5.15
1665,한국선재,2.05,18.81
1666,한국쉘석유,26.27,20.25
1667,한국알콜,7.62,9.85
1668,한국유리,1.59,5.34
1669,한국자산신탁,22.09,6.58
1670,한국전력,10.07,7.82
1671,한국전자금융,7.73,26.04
1672,한국전자인증,10.21,55.27
1673,한국전자홀딩스,-4.82,-7.42
1674,한국정밀기계,-4.78,-0.68
1675,한국정보공학,2.46,-3.1
1676,한국정보인증,11.54,53.62
1677,한국정보통신,18.53,19.1
1678,한국제지,3.85,12.31
1679,한국종합기술,1.05,-50.36
1680,한국주강,-3.39,-5.21
1681,한국주철관,0.0,9.96
1682,한국철강,3.22,8.75
1683,한국카본,4.3,29.84
1684,한국캐피탈,1.39,20.03
1685,한국컴퓨터,5.65,-85.91
1686,한국콜마,15.18,36.4
1687,한국콜마홀딩스,7.73,22.09
1688,한국큐빅,3.06,19.91
1689,한국타이어,12.55,9.48
1690,한국타이어월드와이드,10.76,8.98
1691,한국테크놀로지,-23.87,-12.03
1692,한국토지신탁,15.81,5.24
1693,한국특수형강,-3.95,-5.43
1694,한국팩키지,6.7,33.0
1695,한국프랜지,-1.35,-31.55
1696,한국항공우주,13.01,442.85
1697,한국화장품,19.65,22.06
1698,한국화장품제조,11.65,30.45
1699,한글과컴퓨터,11.86,23.41
1700,한네트,5.29,25.99
1701,한농화성,2.71,7.53
1702,한독,0.93,-173.66
1703,한라,4.1,3.7
1704,한라IMS,2.03,23.74
1705,한라홀딩스,5.02,9.64
1706,한미글로벌,5.28,12.7
1707,한미반도체,11.62,25.16
1708,한미사이언스,3.04,-938.28
1709,한미약품,3.61,545.63
1710,한빛소프트,-5.78,-1032.84
1711,한샘,20.84,33.26
1712,한섬,5.44,14.08
1713,한성기업,2.98,79.49
1714,한세실업,9.54,36.67
1715,한세예스24홀딩스,6.71,24.88
1716,한솔PNS,2.4,37.44
1717,한솔로지스틱스,8.34,7.74
1718,한솔신텍,7.62,-13.0
1719,한솔씨앤피,16.72,19.8
1720,한솔인티큐브,3.04,-117.17
1721,한솔제지,8.59,17.13
1722,한솔케미칼,14.67,14.13
1723,한솔테크닉스,5.5,-8.75
1724,한솔홀딩스,3.79,-15669.67
1725,한솔홈데코,4.31,12.4
1726,한스바이오메드,8.42,47.22
1727,한신공영,4.32,3.85
1728,한신기계,13.11,29.34
1729,한양디지텍,-2.77,-30.82
1730,한양이엔지,8.64,15.49
1731,한양증권,0.59,31.61
1732,한온시스템,11.69,23.52
1733,한올바이오파마,-3.48,878.0
1734,한익스프레스,10.14,9.54
1735,한일네트웍스,7.58,12.38
1736,한일단조,2.9,19.07
1737,한일사료,6.09,-27.11
1738,한일시멘트,5.32,11.39
1739,한일진공,-1.6,8.24
1740,한일철강,0.89,11.69
1741,한일화학,-0.36,7.95
1742,한전KPS,11.29,17.04
1743,한전기술,-0.74,-175.72
1744,한전산업,21.53,11.91
1745,한진,-4.75,-7.16
1746,한진중공업,-0.21,-0.89
1747,한진중공업홀딩스,-3.53,-0.36
1748,한진칼,8.96,-6.53
1749,한창,4.36,-55.32
1750,한창산업,7.45,15.79
1751,한창제지,10.94,3.24
1752,한컴시큐어,0.37,-48.79
1753,한컴지엠디,0.82,45.34
1754,한탑,1.37,-23.79
1755,한프,-8.47,-12.24
1756,한화,1.73,6.38
1757,한화갤러리아타임월드,-6.13,-15.97
1758,한화생명,0.99,10.75
1759,한화손해보험,1.37,6.82
1760,한화에이스스팩2호,-0.11,148.33
1761,한화케미칼,5.99,6.13
1762,한화테크윈,3.57,18.31
1763,한화투자증권,0.38,35.19
1764,해덕파워웨이,2.79,-82.94
1765,해마로푸드서비스,0.0,16.17
1766,해성디에스,5.46,13.18
1767,해성산업,2.44,46.82
1768,해성옵틱스,-2.55,-17.63
1769,해태제과식품,7.83,23.96
1770,핸디소프트,0.0,-37.09
1771,핸디소프트,0.0,-37.09
1772,핸즈코퍼레이션,0.0,7.49
1773,헝셩그룹,0.0,5.59
1774,현대EP,11.82,6.03
1775,현대건설,5.67,9.79
1776,현대공업,5.96,5.62
1777,현대그린푸드,3.84,14.59
1778,현대글로비스,9.37,10.78
1779,현대로템,0.68,45.58
1780,현대리바트,9.79,14.92
1781,현대리바트,0.0,14.92
1782,현대모비스,7.36,9.9
1783,현대미포조선,1.56,11.98
1784,현대백화점,5.1,8.43
1785,현대비앤지스틸,1.5,8.59
1786,현대산업,9.97,8.36
1787,현대상사,1.19,10.42
1788,현대상선,-20.58,-0.85
1789,현대시멘트,7.85,1.84
1790,현대아이비티,-11.76,-30.94
1791,현대약품,2.25,135.93
1792,현대에이치씨엔,8.63,10.87
1793,현대엘리베이,10.72,6.14
1794,현대위아,3.74,21.51
1795,현대정보기술,0.31,513.86
1796,현대제철,4.48,10.29
1797,현대중공업,2.6,2.93
1798,현대차,2.54,8.4
1799,현대통신,17.29,7.14
1800,현대해상,1.97,8.84
1801,현대홈쇼핑,3.93,10.05
1802,현성바이탈,0.0,26.96
1803,현우산업,4.25,14.35
1804,현진소재,2.04,-52.76
1805,형지I&C,-5.1,-11.79
1806,형지엘리트,-0.62,-10.87
1807,혜인,1.9,-21.42
1808,호전실업,0.0,11.43
1809,호텔신라,4.69,191.77
1810,홈센타홀딩스,-1.5,10.82
1811,홈캐스트,6.44,-218.24
1812,화성산업,11.43,4.35
1813,화승알앤에이,5.79,13.29
1814,화승엔터프라이즈,8.88,16.57
1815,화승인더,10.43,12.01
1816,화신,2.9,84.91
1817,화신정공,0.5,14.8
1818,화신테크,-12.8,-6.21
1819,화인베스틸,-0.4,35.31
1820,화일약품,2.95,348.73
1821,화진,3.71,18.64
1822,화천기계,-3.18,53.01
1823,화천기공,-0.48,10.94
1824,환인제약,10.82,20.59
1825,황금에스티,6.02,7.21
1826,효성,7.15,9.98
1827,효성ITX,9.09,21.93
1828,효성오앤비,20.3,13.66
1829,후성,15.73,14.98
1830,휘닉스소재,0.57,-19.1
1831,휠라코리아,2.62,2.6
1832,휴니드,0.55,12.7
1833,휴맥스,0.64,-80.19
1834,휴맥스홀딩스,0.48,-8.67
1835,휴메딕스,8.41,38.05
1836,휴비스,1.31,28.53
1837,휴비츠,7.14,18.32
1838,휴스틸,-0.07,6.44
1839,휴온스,0.0,24.17
1840,휴온스글로벌,9.64,34.31
1841,휴젤,25.94,36.8
1842,휴켐스,10.66,9.78
1843,흥구석유,2.5,22.15
1844,흥국,7.51,8.61
1845,흥국에프엔비,12.91,23.2
1846,흥국화재,1.0,5.93
1847,흥아해운,-1.67,-4.87
1848,희림,5.62,20.66
