,회사명,ROA,PER
343,대성홀딩스,-2.77,10.62
344,대신정보통신,0.0,20.57
345,대신증권,0.36,7.76
346,대아티아이,11.88,10.61
347,대양금속,13.31,4.48
348,대양전기공업,8.5,11.65
349,대양제지,10.99,-21.35
350,대영포장,0.43,-25.62
351,대우건설,3.86,-5.76
352,대우부품,3.55,53.44
353,대우스팩3호,-0.13,0.0
354,대우조선해양,-3.48,111.06
355,대웅,5.05,19.55
356,대웅제약,1.76,50.39
357,대원강업,6.04,12.7
358,대원미디어,3.45,38.57
359,대원산업,13.46,3.84
360,대원전선,4.24,13.21
361,대원제약,16.39,28.34
362,대원화성,8.36,26.43
363,대유에이텍,1.95,11.69
364,대유위니아,0.0,6.42
365,대유플러스,-0.89,-4.92
366,대정화금,6.94,9.27
367,대주산업,4.31,42.45
368,대주전자재료,3.2,293.99
369,대진디엠피,3.03,41.58
370,대창,-0.43,8.13
371,대창단조,7.7,8.05
372,대창솔루션,3.52,-2.14
373,대창스틸,1.68,-30.07
374,대한과학,3.4,41.59
375,대한광통신,-5.76,61.8
376,대한뉴팜,8.42,-9.53
377,대한방직,0.13,-8.67
378,대한약품,16.35,12.52
379,대한유화,17.17,9.56
380,대한전선,3.68,-120.04
381,대한제강,6.38,7.53
382,대한제당,4.15,22.82
383,대한제분,5.95,6.23
384,대한항공,7.62,-15.87
385,대한해운,2.03,7.19
386,대한화섬,-0.58,9.23
387,대현,1.22,10.28
388,대호에이엘,0.69,96.52
389,대호피앤씨,8.68,9.96
390,대화제약,1.5,110.38
391,더블유게임즈,10.63,19.96
392,더존비즈온,13.48,38.35
393,덕산네오룩스,2.62,30.87
394,덕산하이메탈,0.83,29.92
395,덕성,5.22,26.97
396,덕신하우징,-11.85,35.99
397,덕양산업,-8.46,424.93
398,데브시스터즈,-8.18,-13.36
399,데코앤이,-25.36,-4.46
400,덱스터,1.81,-23.07
401,도레이케미칼,0.0,109.48
402,도이치모터스,0.0,29.87
403,도화엔지니어링,-0.77,-42.49
404,동국S&C,6.86,44.47
405,동국산업,6.38,9.49
406,동국실업,0.88,-4.59
407,동국알앤에스,5.83,24.96
408,동국제강,4.18,-5.56
409,동국제약,15.36,16.77
410,동남합성,10.38,28.87
411,동방,3.68,-9.74
412,동방선기,2.75,-73.56
413,동방아그로,-10.58,13.43
414,동부건설,1.54,2.07
415,동부스팩3호,-0.32,315.34
416,동부제4호스팩,-0.23,170.55
417,동부제철,4.1,-1.96
418,동서,2.79,23.91
419,동성제약,-2.7,221.14
420,동성코퍼레이션,7.03,15.19
421,동성화인텍,5.3,-10.62
422,동성화학,10.71,10.7
423,동신건설,4.25,7.2
424,동아쏘시오홀딩스,4.24,18.89
425,동아에스텍,13.36,7.05
426,동아에스티,0.62,75.06
427,동아엘텍,16.65,9.13
428,동아지질,4.25,9.16
429,동아화성,4.91,4.76
430,동양,2.06,27.13
431,동양고속,8.82,-223.67
432,동양네트웍스,-4.62,-4.56
433,동양물산,2.96,28.55
434,동양생명,0.93,-69.3
435,동양에스텍,1.12,6.12
436,동양이엔피,6.19,5.37
437,동양철관,-6.17,-9.02
438,동양파일,15.69,7.66
439,동양피엔에프,-2.78,-202.94
440,동운아나텍,-5.33,542.67
441,동원,5.96,-34.83
442,동원F&B,11.28,20.32
443,동원개발,23.62,4.41
444,동원금속,0.0,-110.65
445,동원산업,11.45,8.84
446,동원수산,4.93,6.97
447,동원시스템즈,12.23,24.33
448,동일고무벨트,5.96,19.46
449,동일금속,-0.5,18.99
450,동일기연,0.43,16.7
451,동일방직,1.3,-44.31
452,동일산업,3.55,9.21
453,동일제강,1.35,13.97
454,동일철강,0.48,-6.69
455,동진쎄미켐,5.64,18.38
