"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190130 ~ 20190228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강동구 둔촌동","134-10","0134","0010","신성둔촌미소지움2","84.78","201902","11~20","74,500","20","2000","진황도로"
"서울특별시 강동구 둔촌동","603","0603","0000","프라자","109.07","201902","1~10","71,000","3","1984","천호대로"
"서울특별시 강동구 둔촌동","611","0611","0000","한솔솔파크","84.49","201902","21~28","82,500","12","2003","천호대로198길"
"서울특별시 강동구 명일동","48-12","0048","0012","동양타워","94.47","201902","1~10","51,800","5","1995","동남로71길"
"서울특별시 강동구 명일동","15","0015","0000","삼익그린2차","54.81","201902","21~28","61,000","3","1983","고덕로"
"서울특별시 강동구 명일동","326-9","0326","0009","중앙","84.86","201902","11~20","55,000","3","2001","상암로47길"
"서울특별시 강동구 명일동","56","0056","0000","현대(고덕)","131.83","201902","21~28","101,000","10","1986","동남로71길"
"서울특별시 강동구 상일동","490","0490","0000","고덕리엔파크3단지","84.83","201902","11~20","77,000","8","2011","상일로"
"서울특별시 강동구 상일동","515","0515","0000","고덕숲아이파크","59.97","201902","1~10","80,000","10","2018","고덕로80길"
"서울특별시 강동구 상일동","515","0515","0000","고덕숲아이파크","59.97","201902","11~20","82,000","12","2018","고덕로80길"
"서울특별시 강동구 성내동","604","0604","0000","금광포란재","84.3","201902","11~20","59,000","10","2007","천호옛14길"
"서울특별시 강동구 성내동","419-1","0419","0001","둔촌역청구","84.98","201902","21~28","65,000","2","1999","풍성로"
"서울특별시 강동구 성내동","590","0590","0000","성내동삼성아파트","59.88","201902","1~10","60,000","3","1999","풍성로"
"서울특별시 강동구 성내동","590","0590","0000","성내동삼성아파트","84.99","201902","11~20","77,500","5","1999","풍성로"
"서울특별시 강동구 성내동","410-15","0410","0015","성내웰빙시티","59.79","201902","1~10","52,000","2","2018","풍성로51길"
"서울특별시 강동구 성내동","295","0295","0000","성안마을청구","84.96","201902","1~10","73,000","8","2002","풍성로"
"서울특별시 강동구 성내동","295","0295","0000","성안마을청구","59.93","201902","21~28","53,200","4","2002","풍성로"
"서울특별시 강동구 성내동","443-24","0443","0024","오륜하이츠","133.01","201902","1~10","59,000","2","2002","강동대로53길"
"서울특별시 강동구 성내동","592","0592","0000","원다빌2","67.17","201902","21~28","48,400","9","2002","천호대로162길"
"서울특별시 강동구 성내동","420-9","0420","0009","태천","67.32","201901","21~31","39,800","9","2001","풍성로52길"
