,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
447,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,"July 17, 2009","September 14, 2018"
448,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.","July 17, 2009","July 15, 2018"
449,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,"July 17, 2009","August 8, 2016"
450,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,"July 10, 2009","July 12, 2018"
451,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,"July 2, 2009","January 31, 2019"
452,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,"July 2, 2009","October 26, 2012"
453,First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.","July 2, 2009","February 1, 2019"
454,The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,"July 2, 2009","May 10, 2018"
455,Rock River Bank,Oregon,IL,15302,The Harvard State Bank,"July 2, 2009","May 9, 2018"
456,First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,"July 2, 2009","February 1, 2019"
457,John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,"July 2, 2009","August 20, 2012"
458,Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,"June 26, 2009","February 21, 2018"
459,MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,"June 26, 2009","February 5, 2015"
460,Horizon Bank,Pine City,MN,9744,"Stearns Bank, N.A.","June 26, 2009","February 5, 2015"
461,Neighborhood Community Bank,Newnan,GA,35285,CharterBank,"June 26, 2009","December 7, 2015"
462,Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,"June 26, 2009","January 31, 2019"
463,First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,"June 19, 2009","September 21, 2015"
464,Cooperative Bank,Wilmington,NC,27837,First Bank,"June 19, 2009","March 12, 2018"
465,Southern Community Bank,Fayetteville,GA,35251,United Community Bank,"June 19, 2009","September 21, 2015"
466,Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,"June 5, 2009","January 31, 2019"
467,Citizens National Bank,Macomb,IL,5757,Morton Community Bank,"May 22, 2009","February 1, 2019"
468,Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,"May 22, 2009","February 1, 2019"
469,"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,"May 21, 2009","February 1, 2019"
470,Westsound Bank,Bremerton,WA,34843,Kitsap Bank,"May 8, 2009","February 1, 2019"
471,America West Bank,Layton,UT,35461,Cache Valley Bank,"May 1, 2009","February 1, 2019"
472,Citizens Community Bank,Ridgewood,NJ,57563,North Jersey Community Bank,"May 1, 2009","February 1, 2019"
473,"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,"May 1, 2009","February 1, 2019"
474,First Bank of Idaho,Ketchum,ID,34396,"U.S. Bank, N.A.","April 24, 2009","February 1, 2019"
475,First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,"April 24, 2009","January 31, 2019"
476,Michigan Heritage Bank,Farmington Hills,MI,34369,Level One Bank,"April 24, 2009","January 31, 2019"
477,American Southern Bank,Kennesaw,GA,57943,Bank of North Georgia,"April 24, 2009","February 1, 2019"
478,Great Basin Bank of Nevada,Elko,NV,33824,Nevada State Bank,"April 17, 2009","July 10, 2018"
479,American Sterling Bank,Sugar Creek,MO,8266,Metcalf Bank,"April 17, 2009","February 1, 2019"
480,New Frontier Bank,Greeley,CO,34881,No Acquirer,"April 10, 2009","January 31, 2019"
481,Cape Fear Bank,Wilmington,NC,34639,First Federal Savings and Loan Association,"April 10, 2009","April 10, 2017"
482,Omni National Bank,Atlanta,GA,22238,No Acquirer,"March 27, 2009","January 31, 2019"
483,"TeamBank, NA",Paola,KS,4754,Great Southern Bank,"March 20, 2009","September 12, 2016"
484,Colorado National Bank,Colorado Springs,CO,18896,Herring Bank,"March 20, 2009","December 12, 2016"
485,FirstCity Bank,Stockbridge,GA,18243,No Acquirer,"March 20, 2009","February 1, 2019"
486,Freedom Bank of Georgia,Commerce,GA,57558,Northeast Georgia Bank,"March 6, 2009","January 31, 2019"
487,Security Savings Bank,Henderson,NV,34820,Bank of Nevada,"February 27, 2009","September 7, 2012"
488,Heritage Community Bank,Glenwood,IL,20078,"MB Financial Bank, N.A.","February 27, 2009","February 1, 2019"
489,Silver Falls Bank,Silverton,OR,35399,Citizens Bank,"February 20, 2009","February 1, 2019"
490,Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,"February 13, 2009","December 7, 2015"
491,Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,The Carlinville National Bank,"February 13, 2009","February 1, 2019"
492,Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,"February 13, 2009","January 31, 2019"
493,Sherman County Bank,Loup City,NE,5431,Heritage Bank,"February 13, 2009","August 17, 2012"
494,County Bank,Merced,CA,22574,Westamerica Bank,"February 6, 2009","February 1, 2019"
495,Alliance Bank,Culver City,CA,23124,California Bank & Trust,"February 6, 2009","August 8, 2018"
496,FirstBank Financial Services,McDonough,GA,57017,Regions Bank,"February 6, 2009","February 1, 2019"
497,Ocala National Bank,Ocala,FL,26538,"CenterState Bank of Florida, N.A.","January 30, 2009","January 31, 2019"
498,Suburban FSB,Crofton,MD,30763,Bank of Essex,"January 30, 2009","February 4, 2016"
499,MagnetBank,Salt Lake City,UT,58001,No Acquirer,"January 30, 2009","January 31, 2019"
500,1st Centennial Bank,Redlands,CA,33025,First California Bank,"January 23, 2009","February 1, 2019"
501,Bank of Clark County,Vancouver,WA,34959,Umpqua Bank,"January 16, 2009","January 31, 2019"
502,National Bank of Commerce,Berkeley,IL,19733,Republic Bank of Chicago,"January 16, 2009","March 12, 2018"
503,Sanderson State Bank  En Espanol,Sanderson,TX,11568,The Pecos County State Bank,"December 12, 2008","January 31, 2019"
504,Haven Trust Bank,Duluth,GA,35379,"Branch Banking & Trust Company, (BB&T)","December 12, 2008","February 1, 2019"
505,First Georgia Community Bank,Jackson,GA,34301,United Bank,"December 5, 2008","January 31, 2019"
506,PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.","November 21, 2008","January 31, 2019"
507,Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.","November 21, 2008","February 1, 2019"
508,Community Bank,Loganville,GA,16490,Bank of Essex,"November 21, 2008","January 31, 2019"
509,Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,"November 7, 2008","February 1, 2019"
510,"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,"November 7, 2008","January 31, 2019"
511,Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,"October 31, 2008","January 31, 2019"
512,Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.","October 24, 2008","February 1, 2019"
513,Meridian Bank,Eldred,IL,13789,National Bank,"October 10, 2008","May 31, 2012"
514,Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,"October 10, 2008","August 1, 2013"
515,Washington Mutual Bank  (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,"September 25, 2008","April 15, 2019"
516,Ameribank,Northfork,WV,6782,"The Citizens Savings Bank  Pioneer Community Bank, Inc.","September 19, 2008","September 21, 2015"
517,Silver State Bank  En Espanol,Henderson,NV,34194,Nevada State Bank,"September 5, 2008","February 1, 2019"
518,Integrity Bank,Alpharetta,GA,35469,Regions Bank,"August 29, 2008","January 31, 2019"
519,Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,"August 22, 2008","January 31, 2019"
520,First Priority Bank,Bradenton,FL,57523,SunTrust Bank,"August 1, 2008","December 12, 2016"
521,"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,"July 25, 2008","September 12, 2016"
522,First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,"July 25, 2008","January 31, 2019"
523,IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB","July 11, 2008","February 1, 2019"
524,"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,"May 30, 2008","October 20, 2016"
525,"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,"May 9, 2008","February 1, 2019"
526,Hume Bank,Hume,MO,1971,Security Bank,"March 7, 2008","January 31, 2019"
527,Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,"January 25, 2008","October 26, 2012"
528,Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,"October 4, 2007","September 12, 2016"
529,NetBank,Alpharetta,GA,32575,ING DIRECT,"September 28, 2007","January 31, 2019"
530,Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,"February 2, 2007","October 27, 2010"
531,Bank of Ephraim,Ephraim,UT,1249,Far West Bank,"June 25, 2004","April 9, 2008"
532,Reliance Bank,White Plains,NY,26778,Union State Bank,"March 19, 2004","April 9, 2008"
533,Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,"March 12, 2004","April 17, 2018"
534,Dollar Savings Bank,Newark,NJ,31330,No Acquirer,"February 14, 2004","April 9, 2008"
535,Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,"November 14, 2003","October 6, 2017"
536,First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,"May 9, 2003","June 5, 2012"
537,Southern Pacific Bank,Torrance,CA,27094,Beal Bank,"February 7, 2003","October 20, 2008"
538,Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,"December 17, 2002","October 20, 2004"
539,Bank of Alamo,Alamo,TN,9961,No Acquirer,"November 8, 2002","March 18, 2005"
540,AmTrade International Bank  En Espanol,Atlanta,GA,33784,No Acquirer,"September 30, 2002","September 11, 2006"
541,Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,"June 27, 2002","October 6, 2017"
542,Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,"June 26, 2002","February 14, 2012"
543,New Century Bank,Shelby Township,MI,34979,No Acquirer,"March 28, 2002","March 18, 2005"
544,Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,"March 1, 2002","April 9, 2008"
545,"NextBank, NA",Phoenix,AZ,22314,No Acquirer,"February 7, 2002","February 5, 2015"
546,Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,"February 1, 2002","October 25, 2012"
547,Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,"January 18, 2002","November 6, 2003"
548,"Hamilton Bank, NA  En Espanol",Miami,FL,24382,Israel Discount Bank of New York,"January 11, 2002","September 21, 2015"
549,Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,"September 7, 2001","October 6, 2017"
550,"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB","July 27, 2001","August 19, 2014"
551,Malta National Bank,Malta,OH,6629,North Valley Bank,"May 3, 2001","November 18, 2002"
552,First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,"February 2, 2001","February 18, 2003"
553,National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,"December 14, 2000","March 17, 2005"
554,Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,"October 13, 2000","March 17, 2005"
