,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
261,SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,"July 23, 2010","January 31, 2019"
262,Community Security Bank,New Prague,MN,34486,Roundbank,"July 23, 2010","February 4, 2016"
263,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,"July 23, 2010","September 13, 2012"
264,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.","July 23, 2010","October 20, 2016"
265,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,"July 23, 2010","January 29, 2019"
266,Sterling Bank,Lantana,FL,32536,IBERIABANK,"July 23, 2010","February 22, 2018"
267,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,"July 16, 2010","February 21, 2018"
268,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.","July 16, 2010","July 11, 2016"
269,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,"July 16, 2010","September 12, 2016"
270,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,"July 16, 2010","August 8, 2016"
271,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,"July 16, 2010","January 31, 2019"
272,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,"July 16, 2010","September 21, 2015"
273,Home National Bank,Blackwell,OK,11636,RCB Bank,"July 9, 2010","December 12, 2016"
274,USA Bank,Port Chester,NY,58072,New Century Bank,"July 9, 2010","January 31, 2019"
275,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,"July 9, 2010","January 31, 2019"
276,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB","July 9, 2010","January 15, 2013"
277,High Desert State Bank,Albuquerque,NM,35279,First American Bank,"June 25, 2010","June 8, 2018"
278,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.","June 25, 2010","January 31, 2019"
279,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.","June 25, 2010","May 11, 2018"
280,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,"June 18, 2010","August 23, 2012"
281,Washington First International Bank,Seattle,WA,32955,East West Bank,"June 11, 2010","February 22, 2018"
282,TierOne Bank,Lincoln,NE,29341,Great Western Bank,"June 4, 2010","January 31, 2019"
283,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,"June 4, 2010","January 31, 2019"
284,First National Bank,Rosedale,MS,15814,The Jefferson Bank,"June 4, 2010","February 20, 2018"
285,Sun West Bank,Las Vegas,NV,34785,City National Bank,"May 28, 2010","January 31, 2019"
286,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,"May 28, 2010","September 7, 2017"
287,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,"May 28, 2010","August 8, 2016"
288,Bank of Florida - Southwest,Naples,FL,35106,EverBank,"May 28, 2010","August 8, 2016"
289,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,"May 28, 2010","August 8, 2016"
290,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,"May 21, 2010","October 26, 2012"
291,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.","May 14, 2010","January 31, 2019"
292,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,"May 14, 2010","February 4, 2016"
293,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,"May 14, 2010","January 31, 2019"
294,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,"May 14, 2010","January 31, 2019"
295,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,"May 7, 2010","January 31, 2019"
296,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,"May 7, 2010","January 31, 2019"
297,Access Bank,Champlin,MN,16476,PrinsBank,"May 7, 2010","February 5, 2015"
298,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,"May 7, 2010","January 31, 2019"
299,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.","April 30, 2010","January 31, 2019"
300,BC National Banks,Butler,MO,17792,Community First Bank,"April 30, 2010","August 7, 2018"
301,Champion Bank,Creve Coeur,MO,58362,BankLiberty,"April 30, 2010","June 6, 2016"
302,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,"April 30, 2010","January 31, 2019"
303,Westernbank Puerto Rico  En Espanol,Mayaguez,PR,31027,Banco Popular de Puerto Rico,"April 30, 2010","January 31, 2019"
304,R-G Premier Bank of Puerto Rico  En Espanol,Hato Rey,PR,32185,Scotiabank de Puerto Rico,"April 30, 2010","January 31, 2019"
305,Eurobank  En Espanol,San Juan,PR,27150,Oriental Bank and Trust,"April 30, 2010","January 31, 2019"
306,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,"April 23, 2010","January 31, 2019"
307,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,"April 23, 2010","January 31, 2019"
