,no,str
130,130,"동행복권 130회 당첨번호 7,19,24,27,42,45+31. 1등 총 4명, 1인당 당첨금액 3,036,496,650원."
131,131,"동행복권 131회 당첨번호 8,10,11,14,15,21+37. 1등 총 8명, 1인당 당첨금액 1,451,214,488원."
132,132,"동행복권 132회 당첨번호 3,17,23,34,41,45+43. 1등 총 4명, 1인당 당첨금액 2,920,473,525원."
133,133,"동행복권 133회 당첨번호 4,7,15,18,23,26+13. 1등 총 8명, 1인당 당첨금액 1,450,242,600원."
134,134,"동행복권 134회 당첨번호 3,12,20,23,31,35+43. 1등 총 5명, 1인당 당첨금액 2,349,155,100원."
135,135,"동행복권 135회 당첨번호 6,14,22,28,35,39+16. 1등 총 7명, 1인당 당첨금액 1,717,293,515원."
136,136,"동행복권 136회 당첨번호 2,16,30,36,41,42+11. 1등 총 6명, 1인당 당첨금액 1,997,694,150원."
137,137,"동행복권 137회 당첨번호 7,9,20,25,36,39+15. 1등 총 9명, 1인당 당첨금액 1,270,403,467원."
138,138,"동행복권 138회 당첨번호 10,11,27,28,37,39+19. 1등 총 5명, 1인당 당첨금액 2,227,152,000원."
139,139,"동행복권 139회 당첨번호 9,11,15,20,28,43+13. 1등 총 7명, 1인당 당첨금액 1,650,210,215원."
140,140,"동행복권 140회 당첨번호 3,13,17,18,19,28+8. 1등 총 5명, 1인당 당첨금액 2,109,462,840원."
141,141,"동행복권 141회 당첨번호 8,12,29,31,42,43+2. 1등 총 6명, 1인당 당첨금액 1,900,552,400원."
142,142,"동행복권 142회 당첨번호 12,16,30,34,40,44+19. 1등 총 11명, 1인당 당첨금액 1,018,265,564원."
143,143,"동행복권 143회 당첨번호 26,27,28,42,43,45+8. 1등 총 3명, 1인당 당첨금액 3,954,584,700원."
144,144,"동행복권 144회 당첨번호 4,15,17,26,36,37+43. 1등 총 8명, 1인당 당첨금액 1,402,440,413원."
145,145,"동행복권 145회 당첨번호 2,3,13,20,27,44+9. 1등 총 3명, 1인당 당첨금액 3,797,838,200원."
146,146,"동행복권 146회 당첨번호 2,19,27,35,41,42+25. 1등 총 2명, 1인당 당첨금액 6,043,415,250원."
147,147,"동행복권 147회 당첨번호 4,6,13,21,40,42+36. 1등 총 7명, 1인당 당첨금액 1,700,040,215원."
148,148,"동행복권 148회 당첨번호 21,25,33,34,35,36+17. 1등 총 5명, 1인당 당첨금액 2,323,596,420원."
149,149,"동행복권 149회 당첨번호 2,11,21,34,41,42+27. 1등 총 7명, 1인당 당첨금액 1,639,052,143원."
150,150,"동행복권 150회 당첨번호 2,18,25,28,37,39+16. 1등 총 4명, 1인당 당첨금액 2,831,645,850원."
151,151,"동행복권 151회 당첨번호 1,2,10,13,18,19+15. 1등 총 4명, 1인당 당첨금액 2,716,634,025원."
152,152,"동행복권 152회 당첨번호 1,5,13,26,29,34+43. 1등 총 5명, 1인당 당첨금액 2,278,131,840원."
153,153,"동행복권 153회 당첨번호 3,8,11,12,13,36+33. 1등 총 4명, 1인당 당첨금액 2,730,526,125원."
154,154,"동행복권 154회 당첨번호 6,19,21,35,40,45+20. 1등 총 4명, 1인당 당첨금액 2,836,628,700원."
155,155,"동행복권 155회 당첨번호 16,19,20,32,33,41+4. 1등 총 9명, 1인당 당첨금액 1,193,005,734원."
156,156,"동행복권 156회 당첨번호 5,18,28,30,42,45+2. 1등 총 8명, 1인당 당첨금액 1,401,099,900원."
157,157,"동행복권 157회 당첨번호 19,26,30,33,35,39+37. 1등 총 2명, 1인당 당첨금액 5,484,903,750원."
158,158,"동행복권 158회 당첨번호 4,9,13,18,21,34+7. 1등 총 10명, 1인당 당첨금액 1,069,544,340원."
159,159,"동행복권 159회 당첨번호 1,18,30,41,42,43+32. 1등 총 6명, 1인당 당첨금액 1,755,407,300원."
160,160,"동행복권 160회 당첨번호 3,7,8,34,39,41+1. 1등 총 2명, 1인당 당첨금액 5,490,805,350원."
161,161,"동행복권 161회 당첨번호 22,34,36,40,42,45+44. 1등 총 7명, 1인당 당첨금액 1,996,876,272원."
162,162,"동행복권 162회 당첨번호 1,5,21,25,38,41+24. 1등 총 5명, 1인당 당첨금액 2,308,265,760원."
163,163,"동행복권 163회 당첨번호 7,11,26,28,29,44+16. 1등 총 7명, 1인당 당첨금액 1,629,726,515원."
164,164,"동행복권 164회 당첨번호 6,9,10,11,39,41+27. 1등 총 3명, 1인당 당첨금액 4,054,937,900원."
165,165,"동행복권 165회 당첨번호 5,13,18,19,22,42+31. 1등 총 2명, 1인당 당첨금액 6,767,426,700원."
166,166,"동행복권 166회 당첨번호 9,12,27,36,39,45+14. 1등 총 11명, 1인당 당첨금액 1,111,299,982원."
167,167,"동행복권 167회 당첨번호 24,27,28,30,36,39+4. 1등 총 5명, 1인당 당첨금액 2,491,222,920원."
168,168,"동행복권 168회 당첨번호 3,10,31,40,42,43+30. 1등 총 5명, 1인당 당첨금액 2,349,946,920원."
169,169,"동행복권 169회 당첨번호 16,27,35,37,43,45+19. 1등 총 5명, 1인당 당첨금액 2,482,888,380원."
170,170,"동행복권 170회 당첨번호 2,11,13,15,31,42+10. 1등 총 6명, 1인당 당첨금액 1,923,108,250원."
171,171,"동행복권 171회 당첨번호 4,16,25,29,34,35+1. 1등 총 6명, 1인당 당첨금액 1,961,339,700원."
172,172,"동행복권 172회 당첨번호 4,19,21,24,26,41+35. 1등 총 11명, 1인당 당첨금액 1,081,154,073원."
173,173,"동행복권 173회 당첨번호 3,9,24,30,33,34+18. 1등 총 8명, 1인당 당첨금액 1,487,736,788원."
174,174,"동행복권 174회 당첨번호 13,14,18,22,35,39+16. 1등 총 7명, 1인당 당첨금액 1,771,103,058원."
175,175,"동행복권 175회 당첨번호 19,26,28,31,33,36+17. 1등 총 5명, 1인당 당첨금액 2,371,132,620원."
176,176,"동행복권 176회 당첨번호 4,17,30,32,33,34+15. 1등 총 5명, 1인당 당첨금액 2,314,663,080원."
177,177,"동행복권 177회 당첨번호 1,10,13,16,37,43+6. 1등 총 7명, 1인당 당첨금액 1,693,285,500원."
178,178,"동행복권 178회 당첨번호 1,5,11,12,18,23+9. 1등 총 5명, 1인당 당첨금액 2,254,621,080원."
179,179,"동행복권 179회 당첨번호 5,9,17,25,39,43+32. 1등 총 10명, 1인당 당첨금액 1,081,093,920원."
180,180,"동행복권 180회 당첨번호 2,15,20,21,29,34+22. 1등 총 2명, 1인당 당첨금액 5,763,371,550원."
181,181,"동행복권 181회 당첨번호 14,21,23,32,40,45+44. 1등 총 6명, 1인당 당첨금액 1,941,763,300원."
182,182,"동행복권 182회 당첨번호 13,15,27,29,34,40+35. 1등 총 3명, 1인당 당첨금액 3,721,439,400원."
183,183,"동행복권 183회 당첨번호 2,18,24,34,40,42+5. 1등 총 6명, 1인당 당첨금액 1,777,221,500원."
184,184,"동행복권 184회 당첨번호 1,2,6,16,20,33+41. 1등 총 6명, 1인당 당첨금액 1,747,753,050원."
185,185,"동행복권 185회 당첨번호 1,2,4,8,19,38+14. 1등 총 3명, 1인당 당첨금액 3,522,485,800원."
186,186,"동행복권 186회 당첨번호 4,10,14,19,21,45+9. 1등 총 9명, 1인당 당첨금액 1,187,882,600원."
187,187,"동행복권 187회 당첨번호 1,2,8,18,29,38+42. 1등 총 7명, 1인당 당첨금액 1,544,733,900원."
188,188,"동행복권 188회 당첨번호 19,24,27,30,31,34+36. 1등 총 3명, 1인당 당첨금액 3,501,405,200원."
189,189,"동행복권 189회 당첨번호 8,14,32,35,37,45+28. 1등 총 3명, 1인당 당첨금액 3,461,775,100원."
190,190,"동행복권 190회 당첨번호 8,14,18,30,31,44+15. 1등 총 6명, 1인당 당첨금액 1,784,159,450원."
191,191,"동행복권 191회 당첨번호 5,6,24,25,32,37+8. 1등 총 4명, 1인당 당첨금액 2,577,114,675원."
192,192,"동행복권 192회 당첨번호 4,8,11,18,37,45+33. 1등 총 4명, 1인당 당첨금액 2,445,348,375원."
193,193,"동행복권 193회 당첨번호 6,14,18,26,36,39+13. 1등 총 3명, 1인당 당첨금액 3,404,449,700원."
194,194,"동행복권 194회 당첨번호 15,20,23,26,39,44+28. 1등 총 4명, 1인당 당첨금액 2,650,567,875원."
195,195,"동행복권 195회 당첨번호 7,10,19,22,35,40+31. 1등 총 11명, 1인당 당첨금액 918,992,591원."
196,196,"동행복권 196회 당첨번호 35,36,37,41,44,45+30. 1등 총 15명, 1인당 당첨금액 727,876,520원."
197,197,"동행복권 197회 당첨번호 7,12,16,34,42,45+4. 1등 총 6명, 1인당 당첨금액 1,803,018,300원."
198,198,"동행복권 198회 당첨번호 12,19,20,25,41,45+2. 1등 총 6명, 1인당 당첨금액 1,797,855,050원."
199,199,"동행복권 199회 당첨번호 14,21,22,25,30,36+43. 1등 총 2명, 1인당 당첨금액 5,344,252,200원."
200,200,"동행복권 200회 당첨번호 5,6,13,14,17,20+7. 1등 총 8명, 1인당 당첨금액 1,344,616,613원."
201,201,"동행복권 201회 당첨번호 3,11,24,38,39,44+26. 1등 총 1명, 1인당 당첨금액 9,719,465,400원."
202,202,"동행복권 202회 당첨번호 12,14,27,33,39,44+17. 1등 총 6명, 1인당 당첨금액 1,893,391,700원."
203,203,"동행복권 203회 당첨번호 1,3,11,24,30,32+7. 1등 총 5명, 1인당 당첨금액 2,164,564,740원."
204,204,"동행복권 204회 당첨번호 3,12,14,35,40,45+5. 1등 총 8명, 1인당 당첨금액 1,358,347,125원."
205,205,"동행복권 205회 당첨번호 1,3,21,29,35,37+30. 1등 총 6명, 1인당 당첨금액 1,835,221,800원."
206,206,"동행복권 206회 당첨번호 1,2,3,15,20,25+43. 1등 총 5명, 1인당 당첨금액 2,032,859,340원."
207,207,"동행복권 207회 당첨번호 3,11,14,31,32,37+38. 1등 총 5명, 1인당 당첨금액 2,104,673,760원."
208,208,"동행복권 208회 당첨번호 14,25,31,34,40,44+24. 1등 총 6명, 1인당 당첨금액 1,760,767,400원."
209,209,"동행복권 209회 당첨번호 2,7,18,20,24,33+37. 1등 총 6명, 1인당 당첨금액 1,660,896,350원."
210,210,"동행복권 210회 당첨번호 10,19,22,23,25,37+39. 1등 총 2명, 1인당 당첨금액 5,139,085,950원."
211,211,"동행복권 211회 당첨번호 12,13,17,20,33,41+8. 1등 총 10명, 1인당 당첨금액 1,035,800,250원."
212,212,"동행복권 212회 당첨번호 11,12,18,21,31,38+8. 1등 총 4명, 1인당 당첨금액 2,660,747,250원."
213,213,"동행복권 213회 당첨번호 2,3,4,5,20,24+42. 1등 총 8명, 1인당 당첨금액 1,376,678,025원."
214,214,"동행복권 214회 당첨번호 5,7,20,25,28,37+32. 1등 총 8명, 1인당 당첨금액 1,406,980,875원."
215,215,"동행복권 215회 당첨번호 2,3,7,15,43,44+4. 1등 총 7명, 1인당 당첨금액 1,587,689,615원."
216,216,"동행복권 216회 당첨번호 7,16,17,33,36,40+1. 1등 총 13명, 1인당 당첨금액 848,506,108원."
217,217,"동행복권 217회 당첨번호 16,20,27,33,35,39+38. 1등 총 7명, 1인당 당첨금액 1,611,246,172원."
218,218,"동행복권 218회 당첨번호 1,8,14,18,29,44+20. 1등 총 4명, 1인당 당첨금액 2,779,075,800원."
219,219,"동행복권 219회 당첨번호 4,11,20,26,35,37+16. 1등 총 9명, 1인당 당첨금액 1,208,409,167원."
220,220,"동행복권 220회 당첨번호 5,11,19,21,34,43+31. 1등 총 6명, 1인당 당첨금액 1,958,094,950원."
221,221,"동행복권 221회 당첨번호 2,20,33,35,37,40+10. 1등 총 6명, 1인당 당첨금액 1,800,104,250원."
222,222,"동행복권 222회 당첨번호 5,7,28,29,39,43+44. 1등 총 5명, 1인당 당첨금액 2,275,193,820원."
223,223,"동행복권 223회 당첨번호 1,3,18,20,26,27+38. 1등 총 7명, 1인당 당첨금액 1,498,170,600원."
